hire_ref;booked_on;depot;region;asset_ref;asset_name;hire_days;day_rate_gbp;account_ref;status;delivered
H100000;26/02/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;3;50.88;;completed;N
H100001;01/09/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;2;77.55;;completed;Y
H100002;05/08/2023;Norwich Depot;East;SF-TOW;Site Tower Light;14;49.68;ACC0204;completed;Y
H100003;15/08/2023;Leeds Depot;North;GEN-60;60kVA Generator;3;97.09;ACC0093;completed;Y
H100004;09/07/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;3;33.61;ACC0255;completed;Y
H100005;20/11/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;50.34;ACC0125;completed;Y
H100006;17/03/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;3;21.29;;completed;Y
H100007;13/08/2024;Bristol Depot;South West;TL-01;Telehandler 4m;5;183.49;ACC0161;completed;Y
H100008;11/07/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;14;149.67;ACC0034;completed;Y
H100009;30/06/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;7;97.7;ACC0237;completed;Y
H100010;10/11/2023;Leeds Depot;North;PB-15;Powered Barrow;5;40.67;ACC0255;completed;Y
H100011;19/08/2023;Norwich Depot;East;PB-15;Powered Barrow;1;40.22;ACC0184;completed;Y
H100012;24/06/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;74.51;;completed;Y
H100013;28/08/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;188.47;ACC0065;completed;Y
H100014;26/05/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;33.46;ACC0054;completed;Y
H100015;31/10/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;2;32.1;;completed;N
H100016;07/04/2024;Bristol Depot;South West;WP-02;Water Pump 2in;7;24.14;ACC0077;completed;Y
H100017;29/07/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;28;136.74;ACC0248;completed;Y
H100018;28/12/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;34.23;ACC0186;completed;N
H100019;22/09/2024;Bristol Depot;South West;GEN-60;60kVA Generator;-5;93.78;ACC0188;cancelled;Y
H100020;06/10/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;3;43.09;ACC0100;completed;Y
H100021;19/11/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;2;75.73;;completed;Y
H100022;10/12/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;7;50.87;ACC0179;open;Y
H100023;19/11/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;34.83;ACC0001;completed;Y
H100024;26/06/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;14;60.71;ACC0103;completed;Y
H100025;06/03/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;2;137.34;ACC0044;completed;N
H100026;02/09/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;7;21.96;ACC0243;completed;Y
H100027;13/08/2023;Bristol Depot;South West;EX-140;13T Excavator;3;294.86;ACC0223;open;Y
H100028;29/04/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;77.48;ACC0167;completed;N
